fecha_de_corte,anio,departamento,municipio,nro_corresponsales,nro_total,monto_total,nro_total_cta_ahorros,saldo_total_cta_ahorros,nro_total_credito_consumo,monto_total_credito_consumo,nro_total_microcredito,monto_total_microcredito,nro_prod_deposito_nivel_nacional,monto_prod_deposito_nivel_nacional,cantidad_entidades,cantidad_tipos_producto,indice_inclusion_financiera,nivel_inclusion_financiera,nivel_siguiente_corte,fecha_siguiente_corte
2018-09-30,2018,AMAZONAS,EL ENCANTO,3,91.0,4966836.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,2,0.1057992666002835,bajo,bajo,2018-12-31
2018-12-31,2018,AMAZONAS,EL ENCANTO,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0.0114116206136147,bajo,bajo,2019-03-31
2019-03-31,2019,AMAZONAS,EL ENCANTO,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0.0114116206136147,bajo,bajo,2019-06-30
2019-06-30,2019,AMAZONAS,EL ENCANTO,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0.0114116206136147,bajo,bajo,2019-09-30
2019-09-30,2019,AMAZONAS,EL ENCANTO,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0.0114116206136147,bajo,bajo,2021-03-31
2017-12-31,2017,AMAZONAS,LA CHORRERA,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0.00570581030680735,bajo,bajo,2019-09-30
2019-09-30,2019,AMAZONAS,LA CHORRERA,0,0.0,0.0,0.0,0.0,1,216510.0,0,0.0,0.0,0.0,1,3,0.07968662238697725,bajo,bajo,2019-12-31
2019-12-31,2019,AMAZONAS,LA CHORRERA,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,3,0.039152414370308454,bajo,bajo,2020-03-31
2020-03-31,2020,AMAZONAS,LA CHORRERA,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,3,0.039152414370308454,bajo,bajo,2020-06-30
2020-06-30,2020,AMAZONAS,LA CHORRERA,2,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,0.06802357265060198,bajo,bajo,2020-09-30
2020-09-30,2020,AMAZONAS,LA CHORRERA,2,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,0.06802357265060198,bajo,bajo,2020-12-31
2020-12-31,2020,AMAZONAS,LA CHORRERA,2,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,0.06802357265060198,bajo,bajo,2021-03-31
2017-12-31,2017,AMAZONAS,LA PEDRERA,1,9.0,5088255.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,2,0.08832641348785157,bajo,bajo,2019-12-31
2019-12-31,2019,AMAZONAS,LA PEDRERA,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0.00570581030680735,bajo,bajo,2020-03-31
2020-03-31,2020,AMAZONAS,LA PEDRERA,2,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,1,0.02064193465050645,bajo,bajo,2020-06-30
2020-06-30,2020,AMAZONAS,LA PEDRERA,6,29.0,8190772.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5,2,0.1373891834415938,bajo,bajo,2020-09-30
2020-09-30,2020,AMAZONAS,LA PEDRERA,6,90.0,24186300.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5,2,0.14663589286610829,bajo,bajo,2020-12-31
2020-12-31,2020,AMAZONAS,LA PEDRERA,6,155.0,34688085.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5,2,0.15061949073746195,bajo,bajo,2021-03-31
2017-12-31,2017,AMAZONAS,LA VICTORIA,4,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,1,0.02484692053346239,bajo,bajo,2018-03-31
2018-03-31,2018,AMAZONAS,LA VICTORIA,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0.00570581030680735,bajo,bajo,2018-06-30
2018-06-30,2018,AMAZONAS,LA VICTORIA,2,0.0,0.0,0.0,0.0,3,900000.0,0,0.0,0.0,0.0,2,2,0.09207111562873349,bajo,bajo,2018-09-30
